iter	Passed	Remaining
554	38318	30724
555	38369	30640
556	38436	30569
557	38488	30487
558	38539	30404
559	38593	30323
560	38683	30271
561	38737	30190
562	38798	30115
563	38856	30037
564	38917	29962
565	38963	29876
566	39022	29800
567	39071	29716
568	39135	29644
569	39200	29572
570	39265	29500
571	39337	29434
572	39388	29352
573	39448	29277
574	39508	29202
575	39562	29122
576	39636	29057
577	39702	28987
578	39759	28909
579	39828	28841
580	39885	28764
581	39943	28687
582	39995	28607
583	40051	28529
584	40126	28466
585	40182	28387
586	40243	28314
587	40316	28249
588	40383	28179
589	40431	28096
590	40487	28019
591	40544	27942
592	40623	27881
593	40688	27810
594	40740	27730
595	40800	27656
596	40853	27578
597	40902	27496
598	40954	27416
599	41007	27338
600	41072	27267
601	41124	27188
602	41174	27108
603	41234	27034
604	41303	26966
605	41355	26887
606	41407	26808
607	41472	26739
608	41534	26666
609	41591	26591
610	41654	26519
611	41711	26444
612	41767	26368
613	41820	26291
614	41872	26212
615	41928	26136
616	41992	26066
617	42049	25991
618	42097	25911
619	42149	25833
620	42222	25768
621	42275	25691
622	42327	25613
623	42386	25540
624	42447	25468
625	42499	25390
626	42551	25313
627	42612	25241
628	42682	25175
629	42768	25118
630	42873	25071
631	42936	25001
632	43006	24934
633	43079	24869
634	43230	24848
635	43300	24782
636	43380	24720
637	43462	24660
638	43531	24593
639	43601	24526
640	43657	24451
641	43711	24374
642	43778	24306
643	43834	24231
644	43892	24157
645	43943	24080
646	44010	24012
647	44078	23943
648	44131	23867
649	44181	23790
650	44240	23717
651	44304	23647
652	44359	23572
653	44412	23496
654	44468	23422
655	44535	23354
656	44587	23277
657	44642	23203
658	44695	23127
659	44758	23057
660	44809	22981
661	44865	22907
662	44914	22829
663	44982	22762
664	45033	22685
665	45084	22610
666	45135	22534
667	45318	22523
668	45417	22470
669	45479	22400
670	45532	22325
671	45585	22249
672	45651	22181
673	45706	22107
674	45761	22033
675	45828	21965
676	45883	21891
677	45934	21815
678	45984	21739
679	46035	21663
680	46104	21596
681	46156	21521
682	46213	21449
683	46269	21375
684	46329	21304
685	46387	21232
686	46437	21156
687	46494	21084
688	46556	21014
689	46614	20942
690	46664	20867
691	46721	20795
692	46785	20726
693	46836	20651
694	46890	20577
695	46952	20507
696	47020	20440
697	47070	20365
698	47124	20292
699	47177	20218
700	47242	20150
701	47312	20084
702	47369	20012
703	47434	19944
704	47486	19870
705	47550	19801
706	47599	19726
707	47660	19656
708	47726	19588
709	47779	19515
710	47836	19444
711	47897	19374
712	47962	19305
713	48016	19233
714	48072	19161
715	48138	19094
716	48198	19024
717	48250	18950
718	48299	18876
719	48356	18805
720	48427	18739
721	48525	18684
722	48612	18624
723	48677	18556
724	48739	18487
725	48802	18418
726	48874	18353
727	48955	18290
728	49038	18229
729	49116	18166
730	49171	18094
731	49228	18023
732	49281	17951
733	49335	17879
734	49405	17812
735	49457	17740
736	49518	17670
737	49577	17600
738	49637	17531
739	49692	17459
740	49745	17387
741	49800	17316
742	49868	17249
743	49918	17176
744	49968	17103
745	50020	17031
746	50101	16968
747	50168	16901
748	50224	16831
749	50295	16765
750	50347	16693
751	50402	16622
752	50454	16550
753	50526	16484
754	50581	16413
755	50632	16341
756	50694	16273
757	50749	16202
758	50808	16132
759	50857	16060
760	50915	15990
761	50981	15923
762	51033	15851
763	51089	15781
764	51143	15710
765	51206	15642
766	51258	15571
767	51314	15501
768	51370	15431
769	51439	15364
770	51491	15293
771	51545	15223
772	51597	15152
773	51658	15083
774	51715	15014
775	51761	14941
776	51816	14871
777	51875	14802
778	51932	14733
779	51983	14662
780	52041	14592
781	52114	14528
782	52164	14456
783	52213	14385
784	52279	14318
785	52346	14252
786	52397	14181
787	52449	14110
788	52510	14042
789	52575	13975
790	52625	13904
791	52675	13833
792	52734	13765
793	52797	13698
794	52849	13627
795	52898	13556
796	52961	13489
797	53084	13437
798	53138	13367
799	53199	13299
800	53264	13232
801	53315	13162
802	53366	13092
803	53420	13023
804	53489	12956
805	53538	12886
806	53592	12817
807	53641	12746
808	53707	12680
809	53761	12610
810	53818	12542
811	53873	12473
812	53936	12406
813	53987	12336
814	54039	12266
815	54107	12200
816	54225	12145
817	54291	12079
818	54372	12016
819	54449	11952
820	54523	11887
821	54589	11821
822	54698	11763
823	54777	11699
824	54842	11633
825	54900	11564
826	54957	11496
827	55011	11427
828	55071	11359
829	55131	11291
830	55185	11223
831	55238	11153
832	55291	11084
833	55355	11018
834	55408	10949
835	55464	10880
836	55514	10811
837	55585	10745
838	55629	10675
839	55686	10606
840	55744	10539
841	55806	10472
842	55858	10403
843	55912	10334
844	55967	10266
845	56034	10200
846	56089	10131
847	56143	10063
848	56206	9996
849	56270	9930
850	56329	9862
851	56386	9794
852	56454	9729
853	56507	9660
854	56556	9591
855	56613	9523
856	56671	9456
857	56738	9390
858	56788	9321
859	56839	9252
860	56888	9184
861	56958	9118
862	57012	9050
863	57070	8983
864	57132	8916
865	57193	8849
866	57247	8781
867	57298	8713
868	57359	8646
869	57430	8581
870	57484	8513
871	57536	8445
872	57597	8379
873	57662	8312
874	57711	8244
875	57762	8176
876	57812	8108
877	57886	8043
878	57939	7975
879	57997	7908
880	58157	7855
881	58277	7796
882	58330	7729
883	58400	7663
884	58470	7597
885	58519	7529
886	58574	7462
887	58622	7393
888	58691	7328
889	58744	7260
890	58800	7193
891	58866	7127
892	58937	7061
893	58995	6994
894	59043	6926
895	59102	6860
896	59164	6793
897	59218	6726
898	59272	6659
899	59335	6592
900	59410	6527
901	59460	6460
902	59524	6394
903	59591	6328
904	59643	6260
905	59695	6193
906	59787	6130
907	59890	6068
908	59957	6002
909	60015	5935
910	60089	5870
911	60185	5807
912	60250	5741
913	60339	5677
914	60428	5613
915	60493	5547
916	60550	5480
917	60608	5413
918	60669	5347
919	60734	5281
920	60788	5214
921	60838	5146
922	60892	5079
923	60960	5014
924	61015	4947
925	61064	4879
926	61126	4813
927	61190	4747
928	61240	4680
929	61300	4614
930	61353	4547
931	61424	4481
932	61478	4414
933	61532	4348
934	61584	4281
935	61652	4215
936	61708	4149
937	61757	4082
938	61811	4015
939	61875	3949
940	61948	3884
941	62014	3818
942	62124	3755
943	62193	3689
944	62244	3622
945	62297	3556
946	62370	3490
947	62425	3424
948	62476	3357
949	62526	3290
950	62577	3224
951	62654	3159
952	62706	3092
953	62765	3026
954	62820	2960
955	62882	2894
956	62932	2827
957	62987	2761
958	63061	2696
959	63144	2631
960	63202	2564
961	63262	2498
962	63330	2433
963	63383	2367
964	63433	2300
965	63489	2234
966	63542	2168
967	63612	2102
968	63660	2036
969	63712	1970
970	63767	1904
971	63836	1838
972	63893	1772
973	63947	1707
974	64010	1641
975	64069	1575
976	64124	1509
977	64178	1443
978	64230	1377
979	64301	1312
980	64358	1246
981	64413	1180
982	64464	1114
983	64533	1049
984	64585	983
985	64635	917
986	64691	852
987	64764	786
988	64818	720
989	64871	655
990	64933	589
991	64985	524
992	65041	458
993	65093	392
994	65156	327
995	65224	261
996	65278	196
997	65332	130
998	65420	65
999	65524	0
